Indicator,Trade flow,Commodity,Partner,Reporter,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11
Value (US$),Exports,TOTAL Total of all HS commodities,Canada,Mexico,673513620,855808067,1030015330,835010153,901328049,923001396,794148149,864480566,930894423,845542186,982818186,,682462676,856658547,1015522584,872858533,865463839,963157067,880966405,1168846798,980139317,1004666425,1054301116,1010823971,839608920,1101379236,1356813916,1216921256,1128559217,1000133851,1155620053,1186631431,1225629037,1211835983,1301854749,1189447775,957045547,1234000659,1238814440,1209999314,1170094872,1230571245,1057114124,1445958845,1008261266,1239961451,1165037408,1175696888,1028225484,1047081065,1109045534,421954600,374476087,869043591,904055805,1090931071,989978120,1126677049,
Value (US$),Exports,TOTAL Total of all HS commodities,Canada,USA,19795340021,20798135479,23126750115,23379246350,22923021254,23950896801,20826497569,23099520674,22521765284,22636206509,21712572867,21158141582,20658765617,21149887534,24918355481,22710822419,,25239503599,21882971488,24555921416,,23938590447,25154257074,23248510090,22631476796,23666164385,27258477631,25819419249,27061023704,26351385318,23711124580,25586072750,24574067386,26195019571,24547071887,22343189279,22632409101,23117180208,26348232887,25198081396,25960746192,24847083437,23360965025,25285114522,24368682682,25195670343,23742707495,22281560113,22531629025,23142250838,23522242488,14768997561,14809489186,20096422899,21076439049,22816331283,23288055490,23574920507,22570607916
Value (US$),Exports,TOTAL Total of all HS commodities,Mexico,Canada,349304305,418771385,489216411,485333756,496797466,490750823,451429114,516867699,586654254,507759053,519380994,459920736,440334369,470821214,605284174,437570600,463461924,497574714,487077850,524589430,528757973,617256125,528917954,457220197,486403209,448221491,519438667,559127541,549061489,620834887,482772571,539794046,606074582,566412085,543235260,419903554,498051031,397035734,498836323,432672582,494639203,454971382,486106846,490495486,454534387,431576828,465650805,411327988,438457298,386438385,418679078,243021094,234352818,353621473,366787563,365463812,446175634,443339880,500151076
Value (US$),Exports,TOTAL Total of all HS commodities,Mexico,USA,18065821662,18226266428,19338779373,19385064326,19040586277,19556260793,18303669930,20282565272,19845805767,20211374879,19592458002,19110433507,19533768942,18146923436,21021750908,18863545207,,21350539318,19737801687,20868643316,,22111917426,21671147513,19718216479,21419262872,20369005141,21969521733,22504995954,23005408018,22202729415,22847371786,22490518350,21542617126,24646848090,22958598871,19477905169,21913674829,20209248667,21830029323,22214851012,22448997846,20655031455,22121797089,22073672685,20633926556,22295928445,20906407391,19067521199,20833957402,19397470423,20048068514,12527542645,10440323370,15787255885,18448794043,17047019040,18703114281,20508218453,19301947369
Value (US$),Exports,TOTAL Total of all HS commodities,USA,Canada,23867690954,23262422440,24806144831,23631278637,24550666441,25861345989,23154800579,25826577061,25529609536,25384170322,25935999692,24699714979,26022623759,24881219907,27710165421,25847891554,27976273572,27569797265,24346513632,26569956889,25852507645,27446539055,27939993769,26752135952,27784760293,25483906734,28363905117,28115146202,29756712326,29696214831,28318829291,29503221329,27773930991,29890739977,27326169112,25457677969,25061587149,24635032946,29346296122,28235787873,30839866869,29171075209,28268300276,28285746992,28291904302,29596616643,26653826063,28049373854,26820159530,25631309304,26277476981,16081005262,16663364333,21681509649,23586497746,25179536853,26051749625,26483382128,25306858682
Value (US$),Exports,TOTAL Total of all HS commodities,USA,Mexico,19920134070,23901500481,25790492773,25003684997,25622192628,25807277503,23825072577,26056152007,26265766747,26114777718,27812972202,,21851312006,25348644031,29119660318,25852698333,28923345476,28676094422,25539847337,28560627783,26645654161,28996980148,29563320482,28169538455,24183396038,26342150479,29894853764,27733944639,29993680887,28477516854,27781282550,30566496193,29984027124,33561649380,29821833447,29296004161,24933037926,27644238869,30192406113,30854956636,32369114171,29609427465,30724705403,31755672297,28989759908,32108780869,29518041675,30170395013,25481859730,28862277525,30435295097,18421814835,13883500369,27228760162,28355292444,29060437104,30754189467,33566465319,
Value (US$),Exports,TOTAL Total of all HS commodities,World,Canada,30661384053,29975184377,32832105795,31217949170,31422297938,33081471941,30196461657,33628439914,33862033185,33601294491,34717331293,33763021444,33737864766,32273725105,37183985362,33745710492,36815628827,36170105556,32268960458,34574170669,34963786513,36137712683,36575769468,36043367489,36378061756,33601124168,38371317668,37305484840,39449705459,39910251944,37448050760,38654649425,37302891240,39756500124,37198143534,34879616319,34218055092,32401871617,38803905045,37192709880,41190542033,38388237862,37276809904,37065890073,37119331061,38528507953,36225518554,37857255425,35551383101,33469032791,34447662185,23380379134,24301246434,30235321537,31830670694,32724917593,34949204247,35747407550,35580426870
Value (US$),Exports,TOTAL Total of all HS commodities,World,Mexico,24684194656,28964812666,31486477565,30412058211,31322088365,31938437826,29766747394,32414078986,32613733148,32587546800,34463262987,,27310162137,31343924469,36045524653,31766578663,35338084017,35541270680,32151828766,35918443630,33768506374,36713483116,37487279936,35973198104,30718580281,35092841823,39480765242,37180960796,39214152918,37483747622,36741359862,39540882119,37700327315,41354751320,38595447183,37597346097,32619692830,36409211058,39016031758,39447059344,41822639124,37949255592,39294360050,51610758724,37220871352,40730477552,37478601310,38661427574,33583715088,36589492396,38342697819,23383299067,18068348857,33076474130,35655846025,36979024492,38546606327,41944511089,
Value (US$),Exports,TOTAL Total of all HS commodities,World,USA,1.08369E+11,1.13731E+11,1.25401E+11,1.19004E+11,1.19566E+11,1.24994E+11,1.16118E+11,1.22727E+11,1.24484E+11,1.28717E+11,1.23427E+11,1.26629E+11,,1.19289E+11,,1.23683E+11,,,,1.29232E+11,,1.35963E+11,1.3524E+11,1.36367E+11,1.24906E+11,1.28132E+11,1.49796E+11,1.37987E+11,1.45383E+11,1.45328E+11,1.33658E+11,1.40067E+11,1.39113E+11,1.47074E+11,1.39742E+11,1.34117E+11,1.29454E+11,1.30442E+11,1.48092E+11,1.35081E+11,1.42149E+11,1.37999E+11,1.32759E+11,1.386E+11,1.34555E+11,1.42173E+11,1.37219E+11,1.35753E+11,1.2898E+11,1.31992E+11,1.34401E+11,95683779400,90584959523,1.04967E+11,1.12582E+11,1.17958E+11,1.21379E+11,1.32403E+11,1.26854E+11
Value (US$),Imports,02 Meat and edible meat offal,Canada,Canada,,,1,,,46054,,9441,,,,5135,,25603,3339,31923,,36817,,,,,30778,71810,,58329,5612,,70783,,,29499,,,,,,,6727,230,23947,37458,126,,9,519964,104230,62,,,,,,,,,,,
Value (US$),Imports,02 Meat and edible meat offal,Canada,Mexico,24502708,26241096,24197067,26929582,26196996,20668374,28936646,36968998,33314615,26559080,30611909,,22380356,23891885,25584195,20702808,27053169,28010352,34886724,31891457,30435251,27773091,27618194,28087542,26278087,26722116,23870799,27217081,27178469,29739626,38809512,44929034,35515162,41863537,36553709,36341845,35795718,33588097,28697162,27702001,34355177,32654846,45562161,46877217,37873973,43597722,43876243,36975192,33313508,34186230,22476981,11457835,11823248,15164481,15410904,15789532,15240791,25293898,
Value (US$),Imports,02 Meat and edible meat offal,Canada,USA,194713762,192444569,213359448,197625741,198449448,188137899,201828962,214600463,207757314,217887721,202124183,188790120,169080774,178007219,206499808,200317741,,227330931,230533286,225075926,,206027585,215154600,184125226,189419327,186288725,217802115,196320520,201463339,213643684,214425660,214715948,208929895,222634260,214672939,203659603,205876503,192353192,236502947,202645439,212585243,220073212,211399526,232636717,225856903,238352850,247090632,204323104,202963610,183287805,209896981,135578738,287563010,267987862,219730988,232604529,213207960,265477236,267671068
Value (US$),Imports,02 Meat and edible meat offal,Mexico,Canada,1084947,1244729,1103467,1663320,1708918,2373499,1686155,1944869,1639329,1212819,837465,1736846,1973534,1456408,2031943,1820096,1199109,2290264,1518941,1754514,1385464,1638017,1635648,2054023,2240432,2141216,3003701,1928188,1987719,2822865,2121675,3462452,2784112,2121397,2782724,3284853,3501928,2683237,2620447,3650125,4241564,5747334,3354654,3682242,3102011,3594963,3366509,3596085,3144356,4771006,4759391,3091006,8091323,6637509,3767519,5288943,5163199,6118963,3611044
Value (US$),Imports,02 Meat and edible meat offal,Mexico,USA,82416885,92068367,94768920,98281314,102368301,98734214,85179793,102139652,91115966,94438142,95617916,82385445,93073984,84195519,94515396,81526674,,101643343,103509908,92964521,,104019762,102546777,89168717,100057593,96600257,92550545,80443049,118884272,120931500,107515042,101724617,92378571,98609869,101035677,93244117,109186622,111368343,120137064,119859861,119856699,111954630,113703638,112430749,111172110,119242304,116142530,112325593,113514470,112264744,130728137,121450405,193848208,176788627,149564949,144178043,133091736,107042264,92805010
Value (US$),Imports,02 Meat and edible meat offal,USA,Canada,107556027,100563571,112011155,109322341,145546720,143942618,134457993,112446231,114708830,108470485,117308765,120255532,106141301,103642575,122715853,112845523,114886562,122745912,140089584,116205210,121680739,110103963,109556256,115891398,97601912,92899417,109822957,108327628,122579208,118274870,122770612,109331544,108613845,99422635,107231395,103572396,90463047,80788642,103582720,102322699,110420333,107434091,110886782,104330241,108847780,98182936,106931632,100384163,105718667,101769172,130292652,114736227,109484128,113637042,125159159,133447772,131879825,113748347,109716066
Value (US$),Imports,02 Meat and edible meat offal,USA,Mexico,210926982,219758279,220205158,247987899,262823165,245168546,245014716,267747589,260708113,233230969,260789878,,257433100,239570767,261881679,227834016,285778078,276270136,266985451,282901123,263971755,276006297,272707454,282039269,284350523,263154399,250400032,297762122,263956299,255098753,240266606,265591787,223651175,269473387,247535507,241588809,257161929,222751009,226420776,258526683,282132657,301049971,325942509,321231108,274459068,295728073,315014823,342853899,356456617,302972413,291769534,177208182,143279138,186220723,212232878,208992237,237310604,276231346,
Value (US$),Imports,02 Meat and edible meat offal,World,Canada,174127636,157952616,174150510,163699967,189050582,184339581,176227456,157747251,163712219,147841234,155263348,158444442,157107065,144191617,177985457,160208020,161206991,172330871,189580499,165158390,174909284,162277703,166620069,167497744,162158970,159171193,173143174,164796505,166764414,160585076,166727929,155065909,148367445,157832361,156944873,153553953,150805230,129963654,166617938,153366658,166788033,158125819,159343585,148276772,144949599,150640429,156008785,153310005,160058877,146356851,214207715,184087633,170310255,172721312,198809249,196516864,194835634,173140407,173394085
Value (US$),Imports,02 Meat and edible meat offal,World,Mexico,249502932,261468011,268351323,302877464,316124907,293356816,303254685,332526104,316516655,283219331,314551856,,299376067,281157599,312737003,274100323,336611227,334409681,338446833,367280720,343519636,351673673,344172664,336241341,324003249,304790903,303074539,360652281,330859657,321800452,321226757,348060150,292077511,352641675,313227075,305865045,320354327,276555762,280907356,305570289,335055639,349607931,408536195,426806765,362259595,375258480,380011342,399147505,404365069,346236564,328762705,201161441,163921993,214004934,239078963,237859673,266876764,319162647,
Value (US$),Imports,02 Meat and edible meat offal,World,USA,719006052,649469488,750110891,710311954,722949070,719826463,677987700,676414431,563583800,593162328,580356566,548737344,,554392540,,677545675,,,,766897712,,679552376,632168507,620967207,715527062,641622458,737115664,675665134,780715288,780803931,797483972,729947238,629277028,662273530,649269152,627460375,746976150,619897999,797848162,792782296,797834431,717670699,758749058,729406572,664641835,710121216,712451913,715984787,766891700,682785783,860217796,702064704,836617774,835796926,923269390,887377481,795118187,736116755,738119778
Value (US$),Imports,07 Vegetables and certain roots and tubers; edible,Canada,Canada,380758,530550,374119,200788,240261,257832,210099,173699,260321,195116,225611,189460,138394,156746,158571,185565,358136,186670,274633,224461,277433,318482,248631,169901,164915,378529,195324,186865,318171,456711,216824,332430,194659,169500,104521,121986,133551,,139401,177040,963314,285076,650437,742587,624215,535528,371127,205360,,,,,,,652950,,,,
Value (US$),Imports,07 Vegetables and certain roots and tubers; edible,Canada,Mexico,2946295,5299092,3533298,3180270,2935848,3376787,2019923,1770405,3313841,2711037,4029554,,6462408,7624006,7392007,1898792,2458847,1093741,2291973,5471087,5812690,6316993,5117046,5282029,5336207,9788454,8004283,14030938,11561848,9421858,5221181,8841114,10992627,5961316,3336651,2176952,2761455,2892573,3203974,1799331,2346706,3734771,2181297,2141650,1477444,923361,1622376,2247905,2895807,2458184,3900907,2669400,3181784,5594186,5518963,3509806,2351964,4024892,
