Indicator,Trade flow,Commodity,Partner,Reporter,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,,
Value (US$),Exports,TOTAL Total of all HS commodities,Canada,Mexico,"673,513,620.00","855,808,067.00","1,030,015,330.00","835,010,153.00","901,328,049.00","923,001,396.00","794,148,149.00","864,480,566.00","930,894,423.00","845,542,186.00","982,818,186.00",,"682,462,676.00","856,658,547.00","1,015,522,584.00","872,858,533.00","865,463,839.00","963,157,067.00","880,966,405.00","1,168,846,798.00","980,139,317.00","1,004,666,425.00","1,054,301,116.00","1,010,823,971.00","839,608,920.00","1,101,379,236.00","1,356,813,916.00","1,216,921,256.00","1,128,559,217.00","1,000,133,851.00","1,155,620,053.00","1,186,631,431.00","1,225,629,037.00","1,211,835,983.00","1,301,854,749.00","1,189,447,775.00","957,045,547.00","1,234,000,659.00","1,238,814,440.00","1,209,999,314.00","1,170,094,872.00","1,230,571,245.00","1,057,114,124.00","1,445,958,845.00","1,008,261,266.00","1,239,961,451.00","1,165,037,408.00","1,175,696,888.00","1,028,225,484.00","1,047,081,065.00","1,109,045,534.00","421,954,600.00","374,476,087.00","869,043,591.00","904,055,805.00","1,090,931,071.00","989,978,120.00","1,126,677,049.00",,,,
Value (US$),Exports,TOTAL Total of all HS commodities,Canada,USA,"19,795,340,021.00","20,798,135,479.00","23,126,750,115.00","23,379,246,350.00","22,923,021,254.00","23,950,896,801.00","20,826,497,569.00","23,099,520,674.00","22,521,765,284.00","22,636,206,509.00","21,712,572,867.00","21,158,141,582.00","20,658,765,617.00","21,149,887,534.00","24,918,355,481.00","22,710,822,419.00",,"25,239,503,599.00","21,882,971,488.00","24,555,921,416.00",,"23,938,590,447.00","25,154,257,074.00","23,248,510,090.00","22,631,476,796.00","23,666,164,385.00","27,258,477,631.00","25,819,419,249.00","27,061,023,704.00","26,351,385,318.00","23,711,124,580.00","25,586,072,750.00","24,574,067,386.00","26,195,019,571.00","24,547,071,887.00","22,343,189,279.00","22,632,409,101.00","23,117,180,208.00","26,348,232,887.00","25,198,081,396.00","25,960,746,192.00","24,847,083,437.00","23,360,965,025.00","25,285,114,522.00","24,368,682,682.00","25,195,670,343.00","23,742,707,495.00","22,281,560,113.00","22,531,629,025.00","23,142,250,838.00","23,522,242,488.00","14,768,997,561.00","14,809,489,186.00","20,096,422,899.00","21,076,439,049.00","22,816,331,283.00","23,288,055,490.00","23,574,920,507.00","22,570,607,916.00",,,
Value (US$),Exports,TOTAL Total of all HS commodities,Mexico,Canada,"349,304,305.00","418,771,385.00","489,216,411.00","485,333,756.00","496,797,466.00","490,750,823.00","451,429,114.00","516,867,699.00","586,654,254.00","507,759,053.00","519,380,994.00","459,920,736.00","440,334,369.00","470,821,214.00","605,284,174.00","437,570,600.00","463,461,924.00","497,574,714.00","487,077,850.00","524,589,430.00","528,757,973.00","617,256,125.00","528,917,954.00","457,220,197.00","486,403,209.00","448,221,491.00","519,438,667.00","559,127,541.00","549,061,489.00","620,834,887.00","482,772,571.00","539,794,046.00","606,074,582.00","566,412,085.00","543,235,260.00","419,903,554.00","498,051,031.00","397,035,734.00","498,836,323.00","432,672,582.00","494,639,203.00","454,971,382.00","486,106,846.00","490,495,486.00","454,534,387.00","431,576,828.00","465,650,805.00","411,327,988.00","438,457,298.00","386,438,385.00","418,679,078.00","243,021,094.00","234,352,818.00","353,621,473.00","366,787,563.00","365,463,812.00","446,175,634.00","443,339,880.00","500,151,076.00",,,
Value (US$),Exports,TOTAL Total of all HS commodities,Mexico,USA,"18,065,821,662.00","18,226,266,428.00","19,338,779,373.00","19,385,064,326.00","19,040,586,277.00","19,556,260,793.00","18,303,669,930.00","20,282,565,272.00","19,845,805,767.00","20,211,374,879.00","19,592,458,002.00","19,110,433,507.00","19,533,768,942.00","18,146,923,436.00","21,021,750,908.00","18,863,545,207.00",,"21,350,539,318.00","19,737,801,687.00","20,868,643,316.00",,"22,111,917,426.00","21,671,147,513.00","19,718,216,479.00","21,419,262,872.00","20,369,005,141.00","21,969,521,733.00","22,504,995,954.00","23,005,408,018.00","22,202,729,415.00","22,847,371,786.00","22,490,518,350.00","21,542,617,126.00","24,646,848,090.00","22,958,598,871.00","19,477,905,169.00","21,913,674,829.00","20,209,248,667.00","21,830,029,323.00","22,214,851,012.00","22,448,997,846.00","20,655,031,455.00","22,121,797,089.00","22,073,672,685.00","20,633,926,556.00","22,295,928,445.00","20,906,407,391.00","19,067,521,199.00","20,833,957,402.00","19,397,470,423.00","20,048,068,514.00","12,527,542,645.00","10,440,323,370.00","15,787,255,885.00","18,448,794,043.00","17,047,019,040.00","18,703,114,281.00","20,508,218,453.00","19,301,947,369.00",,,
Value (US$),Exports,TOTAL Total of all HS commodities,USA,Canada,"23,867,690,954.00","23,262,422,440.00","24,806,144,831.00","23,631,278,637.00","24,550,666,441.00","25,861,345,989.00","23,154,800,579.00","25,826,577,061.00","25,529,609,536.00","25,384,170,322.00","25,935,999,692.00","24,699,714,979.00","26,022,623,759.00","24,881,219,907.00","27,710,165,421.00","25,847,891,554.00","27,976,273,572.00","27,569,797,265.00","24,346,513,632.00","26,569,956,889.00","25,852,507,645.00","27,446,539,055.00","27,939,993,769.00","26,752,135,952.00","27,784,760,293.00","25,483,906,734.00","28,363,905,117.00","28,115,146,202.00","29,756,712,326.00","29,696,214,831.00","28,318,829,291.00","29,503,221,329.00","27,773,930,991.00","29,890,739,977.00","27,326,169,112.00","25,457,677,969.00","25,061,587,149.00","24,635,032,946.00","29,346,296,122.00","28,235,787,873.00","30,839,866,869.00","29,171,075,209.00","28,268,300,276.00","28,285,746,992.00","28,291,904,302.00","29,596,616,643.00","26,653,826,063.00","28,049,373,854.00","26,820,159,530.00","25,631,309,304.00","26,277,476,981.00","16,081,005,262.00","16,663,364,333.00","21,681,509,649.00","23,586,497,746.00","25,179,536,853.00","26,051,749,625.00","26,483,382,128.00","25,306,858,682.00",,,
Value (US$),Exports,TOTAL Total of all HS commodities,USA,Mexico,"19,920,134,070.00","23,901,500,481.00","25,790,492,773.00","25,003,684,997.00","25,622,192,628.00","25,807,277,503.00","23,825,072,577.00","26,056,152,007.00","26,265,766,747.00","26,114,777,718.00","27,812,972,202.00",,"21,851,312,006.00","25,348,644,031.00","29,119,660,318.00","25,852,698,333.00","28,923,345,476.00","28,676,094,422.00","25,539,847,337.00","28,560,627,783.00","26,645,654,161.00","28,996,980,148.00","29,563,320,482.00","28,169,538,455.00","24,183,396,038.00","26,342,150,479.00","29,894,853,764.00","27,733,944,639.00","29,993,680,887.00","28,477,516,854.00","27,781,282,550.00","30,566,496,193.00","29,984,027,124.00","33,561,649,380.00","29,821,833,447.00","29,296,004,161.00","24,933,037,926.00","27,644,238,869.00","30,192,406,113.00","30,854,956,636.00","32,369,114,171.00","29,609,427,465.00","30,724,705,403.00","31,755,672,297.00","28,989,759,908.00","32,108,780,869.00","29,518,041,675.00","30,170,395,013.00","25,481,859,730.00","28,862,277,525.00","30,435,295,097.00","18,421,814,835.00","13,883,500,369.00","27,228,760,162.00","28,355,292,444.00","29,060,437,104.00","30,754,189,467.00","33,566,465,319.00",,,,
Value (US$),Exports,TOTAL Total of all HS commodities,World,Canada,"30,661,384,053.00","29,975,184,377.00","32,832,105,795.00","31,217,949,170.00","31,422,297,938.00","33,081,471,941.00","30,196,461,657.00","33,628,439,914.00","33,862,033,185.00","33,601,294,491.00","34,717,331,293.00","33,763,021,444.00","33,737,864,766.00","32,273,725,105.00","37,183,985,362.00","33,745,710,492.00","36,815,628,827.00","36,170,105,556.00","32,268,960,458.00","34,574,170,669.00","34,963,786,513.00","36,137,712,683.00","36,575,769,468.00","36,043,367,489.00","36,378,061,756.00","33,601,124,168.00","38,371,317,668.00","37,305,484,840.00","39,449,705,459.00","39,910,251,944.00","37,448,050,760.00","38,654,649,425.00","37,302,891,240.00","39,756,500,124.00","37,198,143,534.00","34,879,616,319.00","34,218,055,092.00","32,401,871,617.00","38,803,905,045.00","37,192,709,880.00","41,190,542,033.00","38,388,237,862.00","37,276,809,904.00","37,065,890,073.00","37,119,331,061.00","38,528,507,953.00","36,225,518,554.00","37,857,255,425.00","35,551,383,101.00","33,469,032,791.00","34,447,662,185.00","23,380,379,134.00","24,301,246,434.00","30,235,321,537.00","31,830,670,694.00","32,724,917,593.00","34,949,204,247.00","35,747,407,550.00","35,580,426,870.00",,,
Value (US$),Exports,TOTAL Total of all HS commodities,World,Mexico,"24,684,194,656.00","28,964,812,666.00","31,486,477,565.00","30,412,058,211.00","31,322,088,365.00","31,938,437,826.00","29,766,747,394.00","32,414,078,986.00","32,613,733,148.00","32,587,546,800.00","34,463,262,987.00",,"27,310,162,137.00","31,343,924,469.00","36,045,524,653.00","31,766,578,663.00","35,338,084,017.00","35,541,270,680.00","32,151,828,766.00","35,918,443,630.00","33,768,506,374.00","36,713,483,116.00","37,487,279,936.00","35,973,198,104.00","30,718,580,281.00","35,092,841,823.00","39,480,765,242.00","37,180,960,796.00","39,214,152,918.00","37,483,747,622.00","36,741,359,862.00","39,540,882,119.00","37,700,327,315.00","41,354,751,320.00","38,595,447,183.00","37,597,346,097.00","32,619,692,830.00","36,409,211,058.00","39,016,031,758.00","39,447,059,344.00","41,822,639,124.00","37,949,255,592.00","39,294,360,050.00","51,610,758,724.00","37,220,871,352.00","40,730,477,552.00","37,478,601,310.00","38,661,427,574.00","33,583,715,088.00","36,589,492,396.00","38,342,697,819.00","23,383,299,067.00","18,068,348,857.00","33,076,474,130.00","35,655,846,025.00","36,979,024,492.00","38,546,606,327.00","41,944,511,089.00",,,,
Value (US$),Exports,TOTAL Total of all HS commodities,World,USA,"108,368,728,961.00","113,730,987,672.00","125,400,958,429.00","119,003,815,948.00","119,566,117,670.00","124,993,804,252.00","116,118,487,428.00","122,726,647,871.00","124,484,449,116.00","128,717,037,286.00","123,426,917,624.00","126,629,195,694.00",,"119,288,592,363.00",,"123,682,791,875.00",,,,"129,231,750,076.00",,"135,963,011,034.00","135,240,256,139.00","136,366,591,317.00","124,905,531,961.00","128,131,722,639.00","149,796,242,838.00","137,987,283,501.00","145,382,811,366.00","145,328,208,782.00","133,658,201,534.00","140,067,275,895.00","139,113,130,990.00","147,073,575,990.00","139,742,226,984.00","134,116,724,111.00","129,454,163,658.00","130,441,636,572.00","148,092,232,697.00","135,081,092,045.00","142,149,166,766.00","137,999,278,054.00","132,758,811,537.00","138,599,626,805.00","134,555,474,833.00","142,173,139,770.00","137,218,927,622.00","135,752,670,424.00","128,979,511,214.00","131,992,099,314.00","134,400,749,545.00","95,683,779,400.00","90,584,959,523.00","104,967,248,780.00","112,581,599,137.00","117,958,253,650.00","121,378,736,772.00","132,402,660,776.00","126,854,420,188.00",,,
Value (US$),Imports,02 Meat and edible meat offal,Canada,Canada,,,1.00,,,"46,054.00",,"9,441.00",,,,"5,135.00",,"25,603.00","3,339.00","31,923.00",,"36,817.00",,,,,"30,778.00","71,810.00",,"58,329.00","5,612.00",,"70,783.00",,,"29,499.00",,,,,,,"6,727.00",230.00,"23,947.00","37,458.00",126.00,,9.00,"519,964.00","104,230.00",62.00,,,,,,,,,,,,,,
